Id,Date,Hero,GameDuration,Abandon,Rep,RepComms,Commend,WinRank,LoseRank,WinUnrank,LoseUnrank
5564963057,12/08 19:33,Magnus,16:24,0,2,1,20,4,6,1,4
5512296574,14/07 09:31,Antimage,24:36,0,3,1,15,9,6,0,0
5531502248,23/07 14:58,Faceless Void,30:33,1,7,0,11,5,7,0,3
5500850747,05/07 22:00,Ursa,46:26,0,1,0,8,6,8,1,0
5542733706,29/07 23:05,Clinkz,38:12,0,1,0,12,8,7,0,0
5526663328,20/07 21:31,Faceless Void,44:59,0,2,0,10,6,9,0,0
5494560029,01/07 15:18,-,-,0,3,0,14,5,9,1,0
5560276540,09/08 17:35,Terrorblade,25:05,0,4,0,12,8,6,0,1
5507132627,10/07 17:13,Antimage,38:24,0,4,0,12,5,8,1,1
5554660937,06/08 08:46,Lifestealer,34:04,0,7,0,13,5,8,1,1
5510113212,23/07 14:58,Faceless Void,30:33,1,7,0,11,5,7,0,3
