hero,g,wr,pos
Riki,1676,52.3,1
Wraith%20King,1224,54.6,1
Phantom%20Assassin,1214,47.3,1
Phantom%20Lancer,1181,53.6,1
Troll%20Warlord,1119,53.9,1
Anti-Mage,1095,47.1,1
Morphling,1065,48.9,1
Monkey%20King,1050,52.4,1
Juggernaut,1020,51.5,1
Terrorblade,1020,45.3,1
Ursa,990,49.4,1
Weaver,832,48.4,1
Slark,736,49.3,1
Lycan,666,53.1,1
Drow%20Ranger,424,51.0,1
Faceless%20Void,286,38.7,1
Naga%20Siren,262,54.9,1
Arc%20Warden,236,52.9,1
Lifestealer,219,46.3,1
Spectre,207,48.8,1
Gyrocopter,175,45.0,1
Luna,153,48.8,1
Ember%20Spirit,152,56.2,1
Clinkz,150,47.0,1
Bloodseeker,114,49.2,1
Alchemist,114,44.4,1
Chaos%20Knight,87,45.6,1
Bristleback,63,56.8,1
Medusa,62,45.7,1
Sven,61,41.7,1
Io,59,45.2,1
Nature's%20Prophet,45,66.7,1
Timbersaw,37,45.5,1
Bounty%20Hunter,32,50.0,1
Outworld%20Devourer,31,10.0,1
Razor,30,50.0,1
Omniknight,28,35.0,1
Lone%20Druid,27,54.5,1
Batrider,24,60.0,1
Night%20Stalker,23,28.6,1
Leshrac,22,84.6,1
Void%20Spirit,22,57.1,1
Pangolier,21,53.8,1
Hoodwink,18,50.0,1
Silencer,18,27.3,1
Legion%20Commander,16,40.0,1
Tidehunter,16,40.0,1
Mirana,16,20.0,1
Windranger,15,62.5,1
Beastmaster,13,62.5,1
Abaddon,13,50.0,1
Vengeful%20Spirit,13,12.5,1
Mars,12,14.3,1
Venomancer,11,28.6,1
Pudge,10,16.7,1
Slardar,9,80.0,1
Dragon%20Knight,8,60.0,1
Death Prophet,8,40.0,1
Sand%20King,8,40.0,1
Dark%20Seer,8,20.0,1
Puck,8,20.0,1
Visage,8,20.0,1
